DealerId,Domain,ClientName
22487,www.davidsonnissan.com,Davidson Nissan
22518,nashuahyundaispecials.com,Nashua Hyundai
22531,mybriarwoodford.com,Briarwood Ford
22592,www.watsonludingtonchrysler.com,Watson Ludington Chrysler Dodge Jeep Ram
22616,quirkchryslerdodgejeepofbelfastspecials.com,Quirk Chrysler Dodge Jeep RAM of Belfast
22619,oconnorvw.com,O'Connor Volkswagen
22627,kellyjeepchryslerspecials.net,Kelly Jeep Chrysler of Lynnfield
22637,bmwpeabodyspecials.com,BMW of Peabody
22732,Specials.hassettford.com,Hassett Ford of Wantagh
22850,tascakiasouthshorefd.com,Tasca South Shore KIA
22913,transitownekiaspecials.com,Transitowne Kia of West Seneca
22972,habberstadbmwofbayshorestage.com,Habberstad BMW of Bay Shore
22984,dchmontclairacuraspecials.com,DCH Montclair Acura
23192,mysouthwayford.com,Mac Haik's Southway Ford
23258,www.gulfcoastnissan.com,Gulf Coast Nissan
23285,www.mazdaofamarillo.com,Mazda Amarillo
23293,specials.moritzkiahurst.com,Moritz Kia of Hurst
23332,sterlingkiaspecials.net,Sterling KIA
23359,my.hyundaiofabilene.com,Star Hyundai of Abilene
23409,www.smartautoqc.com,Smart Automotive of Davenport
23452,my.rossdowninggmc.com,Ross Downing GMC Hammond
23457,www.xtremecdjr.com,Xtreme Chrysler Jeep Dodge Ram of New Orleans
23561,jimcolemanlandroverstage.com,Jim Coleman Land Rover Clarksville
23595,www.jimcolemanhonda.com,Jim Coleman Honda
23647,www.sandsfordofredhill.com,Sands Ford of Red Hill
23717,www.cochrankia.com,#1 Cochran Kia of Robinson Twp
23776,boucherhyundaijanesvillespecials.com,Boucher Hyundai of Janesville
23780,kayserfordstage.net,Kayser Ford
23815,www.timdahleinfiniti.com,Tim Dahle INFINITI
23847,www.kiacovingtonpike.com,Gossett Kia
23941,www.bmwakron.com,BMW of Akron
23964,www.serraacuraakron.com,Serra Acura
23986,www.montrosecjdr.com,Montrose Chrysler Jeep Dodge Ram
24120,www.wkcdjrsedalia.com,W-K Chrysler Dodge Jeep Ram of Sedalia
24151,www.lincolnofbloomington.com,Lincoln of Bloomington
24157,bmwofminnetonkahu.com,BMW of Minnetonka
